PLAYER_ID,PLAYER_NAME,TEAM,PROJECTED_AGE,PROJECTED_TS_PCT,HDI_LOW,HDI_HIGH
1630194,Paul Reed,DET,28.0,0.6045553500371991,0.5758599451925456,0.6351312115048586
1630241,Sam Merrill,CLE,31.0,0.6043217567371506,0.5649814914222958,0.6405444090999769
1642461,Spencer Jones,DEN,26.0,0.6042769202745712,0.5495129852634901,0.6598420862009572
204001,Kristaps Porziņģis,GSW,31.0,0.6042174687389674,0.5738183805901268,0.6353426007976629
1627884,Derrick Jones Jr.,LAC,30.0,0.6037004657640253,0.57568468907265,0.6351088101405309
203084,Harrison Barnes,SAS,35.0,0.6036555077336907,0.5731724308347171,0.6354201601604381
202710,Jimmy Butler III,GSW,37.0,0.6036347330703261,0.5727485534057475,0.6337355356483929
1630574,Ariel Hukporti,NYK,25.0,0.6033243068528029,0.5464659796066186,0.6607306408679399
1630249,Vít Krejčí,POR,27.0,0.6032952454065558,0.5680148608929949,0.6373817814148605
1630245,Ayo Dosunmu,MIN,27.0,0.6029967240240103,0.5737139548157442,0.63396633923273
1630171,Isaac Okoro,CHI,26.0,0.602352425666628,0.572268037812307,0.6312299092601179
1642276,Kel'el Ware,MIA,23.0,0.6018173666248733,0.558071406567825,0.646416721749854
1642875,Maxime Raynaud,SAC,24.0,0.6017934423643055,0.5486123209469679,0.661066612790732
1642867,Collin Murray-Boyles,TOR,22.0,0.6008781401085838,0.5471606690806357,0.6584965593996123
202695,Kawhi Leonard,LAC,36.0,0.6008149238744104,0.5662509587802562,0.634122072452769
202685,Jonas Valanciunas,DEN,35.0,0.6007072331876682,0.5706511441558119,0.6311181926178802
1642854,Asa Newell,ATL,21.0,0.6004472386338754,0.5457209567843426,0.6571340326174769
1630596,Evan Mobley,CLE,26.0,0.600441044224594,0.5718854100611975,0.6319968929207099
1630217,Desmond Bane,ORL,29.0,0.60011843625954,0.5695151993345714,0.6282451143107484
1631288,Jamal Cain,ORL,28.0,0.599875956799175,0.5659948138171871,0.6339170916173571
1630228,Jonathan Kuminga,ATL,24.0,0.5998352996037802,0.5693124422765999,0.6301028470252782
1629060,Rui Hachimura,LAL,29.0,0.599090523069347,0.5676324036174921,0.6277997167327001
1626181,Norman Powell,MIA,34.0,0.5989089551182312,0.5687280156609809,0.6303305903661865
1630541,Moses Moody,GSW,25.0,0.5988245968589407,0.5668515693200487,0.6292163724136095
1631114,Jalen Williams,OKC,26.0,0.5980626700337615,0.5655759014550923,0.6316084762229497
1629675,Naz Reid,MIN,27.0,0.5980373720540004,0.5681938609432843,0.6279754982766279
1641705,Victor Wembanyama,SAS,23.0,0.5978589241405884,0.5602000683843369,0.6349766725836239
1630577,Julian Champagnie,SAS,26.0,0.5975000748695047,0.5657936755137457,0.6307287586224717
1629027,Trae Young,WAS,28.0,0.5974807375483187,0.5678378478429704,0.628266054217191
1628396,Tony Bradley,ATL,29.0,0.5971138758551704,0.5567431911112384,0.6414072849793031
1630536,Sharife Cooper,WAS,26.0,0.5971103442336676,0.5417812039886165,0.6534107884130382
1630178,Tyrese Maxey,PHI,26.0,0.5968428297027469,0.5670599282126252,0.627746603317844
1630598,Aaron Wiggins,OKC,28.0,0.5967675150929729,0.5643437245592269,0.625905621179914
201939,Stephen Curry,GSW,39.0,0.5967565278743,0.5645487753882091,0.6271617577571047
