PLAYER_ID,SEASON_START_YEAR,TS_PCT,AGE,SEASON_FGA_EST,PREV_TS_PCT,PREV_SEASON
203496,2023,0.58,33.0,98.6,0.584,2022.0
203497,2022,0.675,31.0,546.0,0.732,2021.0
203497,2023,0.675,32.0,615.6,0.675,2022.0
203497,2024,0.687,33.0,511.2,0.675,2023.0
203497,2025,0.664,34.0,494.0,0.687,2024.0
203500,2022,0.564,29.0,264.59999999999997,0.56,2021.0
203500,2025,0.535,32.0,137.6,0.541,2024.0
203501,2022,0.554,31.0,844.9,0.52,2021.0
203501,2023,0.542,32.0,979.6,0.554,2022.0
203501,2024,0.567,33.0,677.6,0.542,2023.0
203501,2025,0.624,34.0,776.0,0.567,2024.0
203506,2022,0.513,31.0,403.2,0.608,2021.0
203507,2022,0.605,28.0,1278.9,0.633,2021.0
203507,2023,0.649,29.0,1372.4,0.605,2022.0
203507,2024,0.625,30.0,1319.8999999999999,0.649,2023.0
203507,2025,0.658,31.0,597.6,0.625,2024.0
203526,2022,0.628,31.0,110.39999999999999,0.538,2021.0
203552,2022,0.593,32.0,451.40000000000003,0.615,2021.0
203552,2023,0.519,33.0,202.39999999999998,0.593,2022.0
203552,2024,0.616,34.0,340.0,0.519,2023.0
203585,2022,0.566,31.0,153.6,0.577,2021.0
203897,2022,0.607,28.0,1386.0,0.605,2021.0
203897,2023,0.578,29.0,375.0,0.607,2022.0
203897,2024,0.639,30.0,1221.0,0.578,2023.0
203897,2025,0.614,31.0,546.0,0.639,2024.0
203903,2022,0.558,31.0,1030.8999999999999,0.532,2021.0
203903,2023,0.521,32.0,814.0,0.558,2022.0
203903,2024,0.54,33.0,492.1,0.521,2023.0
203903,2025,0.548,34.0,525.6,0.54,2024.0
203914,2022,0.62,28.0,307.20000000000005,0.571,2021.0
203914,2023,0.587,29.0,297.0,0.62,2022.0
203914,2024,0.524,30.0,134.39999999999998,0.587,2023.0
203914,2025,0.593,31.0,105.60000000000001,0.524,2024.0
203915,2022,0.573,30.0,1050.7,0.543,2021.0
203915,2023,0.543,31.0,638.4,0.573,2022.0
203915,2024,0.553,32.0,679.4,0.543,2023.0
203924,2022,0.606,29.0,913.5,0.556,2021.0
203924,2023,0.573,30.0,847.8,0.606,2022.0
203924,2024,0.523,31.0,573.4,0.573,2023.0
203924,2025,0.608,32.0,729.6,0.523,2024.0
203925,2022,0.621,31.0,436.6,0.624,2021.0
203926,2022,0.59,31.0,524.8,0.593,2021.0
203926,2023,0.6,32.0,281.6,0.59,2022.0
203926,2024,0.617,33.0,117.6,0.6,2023.0
203926,2025,0.574,34.0,139.2,0.617,2024.0
203932,2022,0.617,27.0,761.5999999999999,0.602,2021.0
203932,2023,0.607,28.0,715.4000000000001,0.617,2022.0
203932,2024,0.65,29.0,494.7,0.607,2023.0
203932,2025,0.62,30.0,399.59999999999997,0.65,2024.0
203935,2022,0.538,29.0,603.9,0.54,2021.0
203935,2023,0.552,30.0,238.0,0.538,2022.0
203935,2024,0.529,31.0,258.4,0.552,2023.0
203935,2025,0.543,32.0,477.40000000000003,0.529,2024.0
203937,2022,0.583,29.0,496.8,0.506,2021.0
203937,2023,0.513,30.0,434.5,0.583,2022.0
203937,2024,0.538,31.0,305.0,0.513,2023.0
203937,2025,0.573,32.0,202.1,0.538,2024.0
203939,2022,0.738,31.0,266.0,0.725,2021.0
203939,2023,0.716,32.0,107.1,0.738,2022.0
203939,2024,0.713,33.0,60.50000000000001,0.716,2023.0
203939,2025,0.699,34.0,100.80000000000001,0.713,2024.0
203944,2022,0.581,28.0,1432.2,0.509,2021.0
203944,2023,0.569,29.0,837.1999999999999,0.581,2022.0
203944,2024,0.593,30.0,938.4,0.569,2023.0
203944,2025,0.585,31.0,1208.7,0.593,2024.0
203952,2022,0.564,28.0,529.1,0.56,2021.0
203952,2023,0.544,29.0,781.0,0.564,2022.0
203952,2024,0.566,30.0,840.0,0.544,2023.0
203952,2025,0.586,31.0,822.8,0.566,2024.0
203954,2022,0.655,29.0,1326.6000000000001,0.616,2021.0
203954,2023,0.644,30.0,850.2,0.655,2022.0
203954,2024,0.58,31.0,315.40000000000003,0.644,2023.0
203954,2025,0.605,32.0,695.4,0.58,2024.0
203957,2024,0.589,29.0,134.0,0.645,2023.0
203967,2023,0.6,30.0,390.4,0.583,2022.0
203967,2024,0.449,31.0,57.6,0.6,2023.0
203991,2022,0.656,29.0,533.0,0.604,2021.0
203991,2023,0.59,30.0,620.5,0.656,2022.0
203991,2024,0.564,31.0,390.5,0.59,2023.0
203991,2025,0.54,32.0,225.0,0.564,2024.0
203992,2022,0.586,30.0,610.2,0.562,2021.0
203992,2023,0.569,31.0,1098.1000000000001,0.586,2022.0
203992,2024,0.559,32.0,491.4,0.569,2023.0
203992,2025,0.525,33.0,151.79999999999998,0.559,2024.0
203994,2022,0.589,28.0,504.4,0.586,2021.0
203994,2023,0.559,29.0,630.8000000000001,0.589,2022.0
203994,2024,0.555,30.0,351.90000000000003,0.559,2023.0
203994,2025,0.548,31.0,356.7,0.555,2024.0
203995,2024,0.462,31.0,274.7,0.524,2023.0
203999,2022,0.701,28.0,1021.2,0.661,2021.0
203999,2023,0.65,29.0,1414.1,0.701,2022.0
203999,2024,0.663,30.0,1365.0,0.65,2023.0
203999,2025,0.67,31.0,1131.0,0.663,2024.0
204001,2022,0.627,27.0,1020.5,0.577,2021.0
204001,2023,0.647,28.0,752.4,0.627,2022.0
204001,2024,0.618,29.0,575.4,0.647,2023.0
204001,2025,0.582,30.0,387.2,0.618,2024.0
204060,2022,0.616,35.0,248.4,0.551,2021.0
204060,2023,0.612,36.0,224.39999999999998,0.616,2022.0
204456,2022,0.59,31.0,517.5,0.525,2021.0
204456,2023,0.586,32.0,596.4,0.59,2022.0
204456,2024,0.547,33.0,624.1,0.586,2023.0
204456,2025,0.567,34.0,448.0,0.547,2024.0
1626145,2022,0.546,27.0,712.0,0.544,2021.0
1626145,2023,0.578,28.0,666.6,0.546,2022.0
1626145,2024,0.585,29.0,680.4,0.578,2023.0
1626145,2025,0.448,30.0,221.1,0.585,2024.0
1626149,2022,0.631,29.0,210.9,0.68,2021.0
1626153,2022,0.581,31.0,290.0,0.576,2021.0
1626153,2023,0.505,32.0,188.0,0.581,2022.0
1626153,2024,0.44,33.0,132.0,0.505,2023.0
1626156,2022,0.605,27.0,951.4,0.544,2021.0
1626156,2023,0.588,28.0,1079.2,0.605,2022.0
1626156,2024,0.522,29.0,638.0,0.588,2023.0
1626156,2025,0.511,30.0,231.4,0.522,2024.0
1626157,2022,0.618,27.0,429.20000000000005,0.64,2021.0
1626157,2023,0.625,28.0,948.6,0.618,2022.0
1626157,2024,0.63,29.0,1216.8,0.625,2023.0
1626157,2025,0.619,30.0,1035.0,0.63,2024.0
1626158,2022,0.668,29.0,88.2,0.689,2021.0
1626158,2023,0.593,30.0,148.0,0.668,2022.0
1626158,2024,0.695,31.0,139.5,0.593,2023.0
1626159,2022,0.466,27.0,197.2,0.479,2021.0
1626162,2022,0.534,27.0,820.8000000000001,0.56,2021.0
1626162,2023,0.535,28.0,877.2,0.534,2022.0
1626162,2024,0.551,29.0,744.0,0.535,2023.0
1626162,2025,0.58,30.0,545.0,0.551,2024.0
1626163,2022,0.635,30.0,64.8,0.635,2021.0
1626164,2022,0.601,26.0,1065.3000000000002,0.576,2021.0
1626164,2023,0.611,27.0,1305.6,0.601,2022.0
1626164,2024,0.589,28.0,1417.5,0.611,2023.0
1626164,2025,0.585,29.0,1196.8,0.589,2024.0
1626166,2022,0.512,28.0,451.20000000000005,0.5,2021.0
1626166,2023,0.566,29.0,483.6,0.512,2022.0
1626166,2024,0.532,30.0,446.40000000000003,0.566,2023.0
1626166,2025,0.514,31.0,149.6,0.532,2024.0
1626167,2022,0.651,27.0,731.6,0.615,2021.0
1626167,2023,0.626,28.0,908.6,0.651,2022.0
1626167,2024,0.612,29.0,813.6,0.626,2023.0
1626167,2025,0.584,30.0,646.1,0.612,2024.0
1626168,2022,0.607,27.0,407.0,0.588,2021.0
1626168,2023,0.596,28.0,319.0,0.607,2022.0
1626168,2024,0.551,29.0,372.6,0.596,2023.0
1626169,2022,0.625,27.0,122.99999999999999,0.564,2021.0
1626171,2022,0.575,28.0,805.0,0.571,2021.0
1626171,2023,0.581,29.0,918.4,0.575,2022.0
1626171,2024,0.542,30.0,592.9,0.581,2023.0
1626171,2025,0.587,31.0,750.4,0.542,2024.0
1626172,2022,0.639,27.0,385.40000000000003,0.586,2021.0
1626172,2023,0.62,28.0,229.4,0.639,2022.0
1626172,2024,0.535,29.0,281.2,0.62,2023.0
1626172,2025,0.458,30.0,60.9,0.535,2024.0
1626174,2022,0.624,27.0,770.5,0.595,2021.0
1626174,2023,0.568,28.0,265.0,0.624,2022.0
1626179,2022,0.517,29.0,1190.6999999999998,0.566,2021.0
1626179,2023,0.555,30.0,1000.3999999999999,0.517,2022.0
1626179,2024,0.497,31.0,633.6,0.555,2023.0
1626181,2022,0.612,30.0,708.0,0.603,2021.0
1626181,2023,0.626,31.0,767.6,0.612,2022.0
1626181,2024,0.615,32.0,948.0,0.626,2023.0
1626181,2025,0.609,33.0,893.2,0.615,2024.0
1626192,2022,0.531,30.0,420.90000000000003,0.62,2021.0
1626192,2023,0.574,31.0,349.59999999999997,0.531,2022.0
1626192,2024,0.567,32.0,176.29999999999998,0.574,2023.0
1626192,2025,0.586,33.0,84.0,0.567,2024.0
1626195,2022,0.61,29.0,167.20000000000002,0.582,2021.0
